Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
AB's - Absolute Barbecues,"North Indian, Continental, Desserts, Salad",1100," MGF Metropolis Mall, MG Road, Gurgaon",4.6,8002,3.7,53,https://www.zomato.com/ncr/abs-absolute-barbecues-mg-road,"Shop LG-01-02-03, Lower Ground Floor, Metropolis Mall, Sector 28, Near MG Road Metro Station, MG Road, Gurgaon, Gurgaon"
Qureshi Kabab Corner,"Mughlai, Kebab",400," Jama Masjid, New Delhi",4.6,1453,,0,https://www.zomato.com/ncr/qureshi-kabab-corner-jama-masjid-new-delhi,"Opposite Gate 1, Jama Masjid, New Delhi"
Clock Tower,"North Indian, Asian, Beverages, Fast Food",2500," Golf Course Road, Gurgaon",4.6,1300,,9,https://www.zomato.com/ncr/clock-tower-golf-course-road,"Near Rapid Metro Pillar 141, Golf Course Road, Gurgaon"
Saravana Bhavan,"South Indian, Beverages",600," Connaught Place, New Delhi",4.6,8305,,10,https://www.zomato.com/ncr/saravana-bhavan-connaught-place-new-delhi,"P-13, Connaught Circle, Connaught Place, New Delhi"
C.I.A Call It Asiian,"Thai, Chinese, Sushi, Momos",700," Greater Kailash 2 (GK2), New Delhi",4.6,1373,4.2,10800,https://www.zomato.com/ncr/c-i-a-call-it-asiian-greater-kailash-gk-2-new-delhi,"13- 16, Narmada Shopping Complex, Alaknanda Road, Near Don Bosco School, Greater Kailash 2 (GK 2), New Delhi"
Open Tap,"Finger Food, North Indian, Continental, Italian",1800," South Point Mall, Golf Course Road, Gurgaon",4.6,936,,0,https://www.zomato.com/ncr/open-tap-golf-course-road,"Upper Ground Floor, DLF South Point Mall, Golf Course Road, Gurgaon"
Hamoni: Cafe By The Greens,"Cafe, North Indian, Italian, Desserts, Beverages",1200," Sector 23, Gurgaon",4.6,959,3.4,74,https://www.zomato.com/ncr/hamoni-cafe-by-the-greens-sector-23,"CK Farm, Carterpuri Village, Sector 23A, Near Sector 23, Gurgaon"
Indian Grill Room,"North Indian, Mughlai, Beverages, Kebab",1800," Suncity Business Tower, Golf Course Road, Gurgaon",4.6,3438,4.1,12400,https://www.zomato.com/ncr/indian-grill-room-golf-course-road,"315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon"
Noida Social,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",1300," DLF Mall of India, Sector 18,  Noida, Noida",4.6,944,4.2,465,https://www.zomato.com/ncr/noida-social-sector-18-noida,"C 412, 3rd Floor, DLF Mall Of India, Sector 18, Noida"
K3 - JW Marriott New Delhi,"North Indian, Chinese, Italian, Momos",3500," JW Marriott New Delhi, New Delhi",4.6,1608,,0,https://www.zomato.com/ncr/k3-jw-marriott-new-delhi-aerocity-new-delhi,"Asset Area 4, Hospitality District, Aerocity, New Delhi"
Barbeque Nation,"North Indian, BBQ, Beverages, Desserts",1500," Unity One Mall, Janakpuri, New Delhi",4.6,2881,3.5,1280,https://www.zomato.com/ncr/barbeque-nation-vikaspuri-new-delhi,"Second Floor, Unity One Mall, Near Janakpuri West Metro Station, Vikaspuri, New Delhi"
Di Ghent Cafe,"European, Belgian",1700," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,2346,4.2,2886,https://www.zomato.com/ncr/di-ghent-cafe-dlf-phase-4,"207, Level 2, Cross Point Mall, DLF Phase 4, Gurgaon"
Vapour Bar Exchange,"Continental, Italian, American, North Indian",1600," Sohna Road, Gurgaon",4.6,1208,3.5,198,https://www.zomato.com/ncr/vapour-bar-exchange-sohna-road,"Shop 1, Vipul Trade Centre, Sohna Road, Gurgaon"
Kiara Soul Kitchen,"Asian, North Indian, Oriental, Desserts, Juices, Beverages",1800," M Block Market, Greater Kailash 2 (GK2), New Delhi",4.6,595,3.8,118,https://www.zomato.com/ncr/kiara-soul-kitchen-greater-kailash-gk-2-new-delhi,"M 30, 1st Floor, M Block Market, Greater Kailash 2 (GK 2), New Delhi"
The Yellow Chilli,"North Indian, Mughlai, Chinese, Beverages, Desserts, Kebab",1600," Sector 110, Noida",4.6,2575,3.9,1207,https://www.zomato.com/ncr/the-yellow-chilli-sector-110-noida,"GT 1 - 2, 1st Floor, Sector 104, Near Sector 110, Noida"
Mahabelly,"Kerala, South Indian, Seafood, Biryani",700," DLF Avenue, Saket, New Delhi",4.6,2323,4.3,11600,https://www.zomato.com/mahabelly,"MA-A05, Ground Floor, Restaurant Block, DLF Avenue, Saket, New Delhi"
The Piano Man Jazz Club,"Finger Food, Mexican, American, Italian, Asian, Beverages",1800," Safdarjung, New Delhi",4.6,1277,3.9,55,https://www.zomato.com/ncr/the-piano-man-jazz-club-safdarjung-new-delhi,"Shop B 6, 7/22, Safdarjung Enclave Market, Opposite Deer Park, Safdarjung, New Delhi"
You Mee,"Japanese, Sushi, Asian, Chinese, Thai, Beverages",1000," Greater Kailash 2 (GK2), New Delhi",4.6,1010,4.3,1665,https://www.zomato.com/ncr/you-mee-greater-kailash-gk-2-new-delhi,"M 27, Ground Floor, Greater Kailash 2 (GK 2), New Delhi"
Delhi Club House,"North Indian, Continental, Asian",1700," Sangam Courtyard, RK Puram, New Delhi",4.6,1221,4.3,123,https://www.zomato.com/ncr/delhi-club-house-r-k-puram-new-delhi,"Ground Floor, Sangam Courtyard, Major Somnath Marg, R K Puram, New Delhi"
Wenger's Deli,"Fast Food, Desserts, Beverages, North Indian, Pizza",500," Connaught Place, New Delhi",4.6,2290,,0,https://www.zomato.com/ncr/wengers-deli-connaught-place-new-delhi,"A 18, Radial Road, Connaught Place, New Delhi"
Farmer's Basket At Pluck,"Chinese, European, North Indian",3000," Pullman New Delhi Aerocity, Aerocity, New Delhi",4.6,913,,0,https://www.zomato.com/ncr/farmers-basket-at-pluck-aerocity-new-delhi,"Pullman Aerocity, Asset 2, Hospitality District, Aerocity, New Delhi"
The Pasta Bowl Company,"Italian, Fast Food, Pizza, Pasta",1300," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,1479,4.2,692,https://www.zomato.com/ncr/the-pasta-bowl-company-dlf-phase-4,"GL 201, Floor 2, Cross Point Mall, DLF Phase 4, Gurgaon"
Chor Bizarre,"North Indian, Mughlai, Beverages",1600," Pandara Road Market, New Delhi",4.6,550,,0,https://www.zomato.com/ncr/chor-bizarre-pandara-road-new-delhi,"Near India Gate, Bikaner House, Pandara Road Market, New Delhi"
Honk - Pullman New Delhi Aerocity,"Japanese, Chinese, Thai, Beverages",2500," Pullman New Delhi Aerocity, Aerocity, New Delhi",4.6,835,,5,https://www.zomato.com/ncr/honk-pullman-new-delhi-aerocity-aerocity-new-delhi,"Near IGI Airport, Asset 2, GMR Hospitality District, Aerocity, New Delhi"
Sakley's The Mountain Cafe,"Cafe, Italian, Fast Food",1300," DLF Galleria, DLF Phase 4, Gurgaon",4.6,1471,3.8,213,https://www.zomato.com/ncr/sakleys-the-mountain-cafe-dlf-phase-4,"SF-93, 1st Floor, DLF Galleria, DLF Phase 4, Gurgaon"
