Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address
La Roca,"Turkish, Asian, Modern Indian, European, Beverages",2000," Worldmark 1, Aerocity, New Mumbai",4.4,725,,0,https://www.zomato.com/ncr/la-roca-aerocity-new-Mumbai,"6, Lower Ground Floor, Worldmark 1, Near Indira Gandhi International Airport, Aerocity, New Mumbai"
Breakin' Brew,"North Indian, Asian, Continental, American, Italian, Desserts, Beverages",1100," Karkardooma, New Mumbai",4.4,472,4.3,430,https://www.zomato.com/ncr/breakin-brew-karkardooma-new-Mumbai,"7, Upper Ground Floor, Hargovind Enclave, Karkardooma, New Mumbai"
The Sky Patio,"North Indian, Chinese, Italian, Beverages, Desserts",1300," Sector 81, Faridabad",4.4,708,,0,https://www.zomato.com/ncr/the-sky-patio-sector-81-faridabad,"Thirf Floor, 81 High Street, Sector 81, Faridabad"
The Chatter House,"Finger Food, Italian, North Indian, Beverages",2000," Epicuria Food Mall, Nehru Place, New Mumbai",4.4,2946,4.3,597,https://www.zomato.com/ncr/the-chatter-house-nehru-place-new-Mumbai,"Lower Basement, Epicuria Food Mall, Near Nehru Place Metro Station, Nehru Place, New Mumbai"
Liv Bar,"Italian, Continental, Beverages",1900," Worldmark 1, Aerocity, New Mumbai",4.4,875,,1,https://www.zomato.com/ncr/liv-bar-1-aerocity-new-Mumbai,"R3, Lower Ground Floor, Worldmark 1, Aerocity, New Mumbai"
Gastronomica Kitchen & Bar,"European, Asian, North Indian, Italian, Continental",2300," M Block Market, Greater Kailash 1 (GK1), New Mumbai",4.4,3779,4.1,3964,https://www.zomato.com/gastronomicakitchenbar,"M-55, 2nd Floor, M Block Market, Greater Kailash 1 (GK 1), New Mumbai"
Ping's Café Orient,"Asian, Chinese, Thai",1800," Lodhi Colony, New Mumbai",4.4,1080,4.3,1069,https://www.zomato.com/ncr/pings-café-orient-lodhi-colony-new-Mumbai,"13, Main Market, Lodhi Colony, New Mumbai"
Yeti - The Himalayan Kitchen,"Tibetan, Nepalese, Momos, Chinese, Beverages",1500," The Colonnade, Connaught Place, New Mumbai",4.4,448,4.1,266,https://www.zomato.com/ncr/yeti-the-himalayan-kitchen-connaught-place-new-Mumbai,"B41, B Block, Inner Circle, Connaught Place, New Mumbai"
Havemore,"North Indian, Mughlai, Beverages",2300," Pandara Road Market, New Mumbai",4.4,2437,4.2,1294,https://www.zomato.com/ncr/havemore-pandara-road-new-Mumbai,"11-12, Pandara Road Market, New Mumbai"
The Barbeque Company,"North Indian, Chinese, BBQ, Mughlai",1200," Sector 29, Gurgaon",4.4,3118,3.7,3974,https://www.zomato.com/ncr/the-barbeque-company-sector-29,"SCO 305, Frist And Second Floor, Sector 29, Gurgaon"
